year,unem,inf,unem_1,inf_1,unem_2,inf_2,cunem,cinf,cunem_1,cinf_1
1948,3.8,8.1000004,,,,,,,,
1949,5.9000001,-1.2,3.8,8.1000004,,,2.1000001,-9.3000002,,
1950,5.3000002,1.3,5.9000001,-1.2,3.8,8.1000004,-.5999999,2.5,2.1000001,-9.3000002
1951,3.3,7.9000001,5.3000002,1.3,5.9000001,-1.2,-2.0000002,6.6000004,-.5999999,2.5
1952,3,1.9,3.3,7.9000001,5.3000002,1.3,-.29999995,-6,-2.0000002,6.6000004
1953,2.9000001,.80000001,3,1.9,3.3,7.9000001,-.099999905,-1.0999999,-.29999995,-6
1954,5.5,.69999999,2.9000001,.80000001,3,1.9,2.5999999,-.10000002,-.099999905,-1.0999999
1955,4.4000001,-.40000001,5.5,.69999999,2.9000001,.80000001,-1.0999999,-1.1,2.5999999,-.10000002
1956,4.0999999,1.5,4.4000001,-.40000001,5.5,.69999999,-.30000019,1.9,-1.0999999,-1.1
1957,4.3000002,3.3,4.0999999,1.5,4.4000001,-.40000001,.20000029,1.8,-.30000019,1.9
1958,6.8000002,2.8,4.3000002,3.3,4.0999999,1.5,2.5,-.5,.20000029,1.8
1959,5.5,.69999999,6.8000002,2.8,4.3000002,3.3,-1.3000002,-2.0999999,2.5,-.5
1960,5.5,1.7,5.5,.69999999,6.8000002,2.8,0,1,-1.3000002,-2.0999999
1961,6.6999998,1,5.5,1.7,5.5,.69999999,1.1999998,-.70000005,0,1
1962,5.5,1,6.6999998,1,5.5,1.7,-1.1999998,0,1.1999998,-.70000005
1963,5.6999998,1.3,5.5,1,6.6999998,1,.19999981,.29999995,-1.1999998,0
1964,5.1999998,1.3,5.6999998,1.3,5.5,1,-.5,0,.19999981,.29999995
1965,4.5,1.6,5.1999998,1.3,5.6999998,1.3,-.69999981,.30000007,-.5,0
1966,3.8,2.9000001,4.5,1.6,5.1999998,1.3,-.70000005,1.3000001,-.69999981,.30000007
1967,3.8,3.0999999,3.8,2.9000001,4.5,1.6,0,.19999981,-.70000005,1.3000001
1968,3.5999999,4.1999998,3.8,3.0999999,3.8,2.9000001,-.20000005,1.0999999,0,.19999981
1969,3.5,5.5,3.5999999,4.1999998,3.8,3.0999999,-.099999905,1.3000002,-.20000005,1.0999999
1970,4.9000001,5.6999998,3.5,5.5,3.5999999,4.1999998,1.4000001,.19999981,-.099999905,1.3000002
1971,5.9000001,4.4000001,4.9000001,5.6999998,3.5,5.5,1,-1.2999997,1.4000001,.19999981
1972,5.5999999,3.2,5.9000001,4.4000001,4.9000001,5.6999998,-.30000019,-1.2,1,-1.2999997
1973,4.9000001,6.1999998,5.5999999,3.2,5.9000001,4.4000001,-.69999981,2.9999998,-.30000019,-1.2
1974,5.5999999,11,4.9000001,6.1999998,5.5999999,3.2,.69999981,4.8000002,-.69999981,2.9999998
1975,8.5,9.1000004,5.5999999,11,4.9000001,6.1999998,2.9000001,-1.8999996,.69999981,4.8000002
1976,7.6999998,5.8000002,8.5,9.1000004,5.5999999,11,-.80000019,-3.3000002,2.9000001,-1.8999996
1977,7.0999999,6.5,7.6999998,5.8000002,8.5,9.1000004,-.5999999,.69999981,-.80000019,-3.3000002
1978,6.0999999,7.5999999,7.0999999,6.5,7.6999998,5.8000002,-1,1.0999999,-.5999999,.69999981
1979,5.8000002,11.3,6.0999999,7.5999999,7.0999999,6.5,-.29999971,3.7000003,-1,1.0999999
1980,7.0999999,13.5,5.8000002,11.3,6.0999999,7.5999999,1.2999997,2.1999998,-.29999971,3.7000003
1981,7.5999999,10.3,7.0999999,13.5,5.8000002,11.3,.5,-3.1999998,1.2999997,2.1999998
1982,9.6999998,6.1999998,7.5999999,10.3,7.0999999,13.5,2.0999999,-4.1000004,.5,-3.1999998
1983,9.6000004,3.2,9.6999998,6.1999998,7.5999999,10.3,-.099999428,-2.9999998,2.0999999,-4.1000004
1984,7.5,4.3000002,9.6000004,3.2,9.6999998,6.1999998,-2.1000004,1.1000001,-.099999428,-2.9999998
1985,7.1999998,3.5999999,7.5,4.3000002,9.6000004,3.2,-.30000019,-.70000029,-2.1000004,1.1000001
1986,7,1.9,7.1999998,3.5999999,7.5,4.3000002,-.19999981,-1.6999999,-.30000019,-.70000029
1987,6.1999998,3.5999999,7,1.9,7.1999998,3.5999999,-.80000019,1.6999999,-.19999981,-1.6999999
1988,5.5,4.0999999,6.1999998,3.5999999,7,1.9,-.69999981,.5,-.80000019,1.6999999
1989,5.3000002,4.8000002,5.5,4.0999999,6.1999998,3.5999999,-.19999981,.70000029,-.69999981,.5
1990,5.5999999,5.4000001,5.3000002,4.8000002,5.5,4.0999999,.29999971,.5999999,-.19999981,.70000029
1991,6.8000002,4.1999998,5.5999999,5.4000001,5.3000002,4.8000002,1.2000003,-1.2000003,.29999971,.5999999
1992,7.5,3,6.8000002,4.1999998,5.5999999,5.4000001,.69999981,-1.1999998,1.2000003,-1.2000003
1993,6.9000001,3,7.5,3,6.8000002,4.1999998,-.5999999,0,.69999981,-1.1999998
1994,6.0999999,2.5999999,6.9000001,3,7.5,3,-.80000019,-.4000001,-.5999999,0
1995,5.5999999,2.8,6.0999999,2.5999999,6.9000001,3,-.5,.20000005,-.80000019,-.4000001
1996,5.4000001,3,5.5999999,2.8,6.0999999,2.5999999,-.19999981,.20000005,-.5,.20000005
